target,person,occurrence,audio,subid,trial,leftpic,rightpic,correct,subject
K1,parent,2,55_34.mp3,55,34,B1,K1,Y,108
B1,child,1,07_04.mp3,7,4,K1,B1,Y,109
B1,parent,2,68_38.mp3,68,38,B1,D1,Y,109
C1,child,1,40_02.mp3,40,2,H1,C1,Y,109
C1,parent,1,44_05.mp3,44,5,C1,A1,Y,109
D1,child,1,72_04.mp3,72,4,D1,K1,Y,109
D1,parent,1,35_32.mp3,35,32,D1,H1,Y,109
D1,parent,2,05_36.mp3,5,36,F1,D1,Y,109
G1,child,2,34_33.mp3,34,33,G1,C1,Y,109
H1,child,2,47_31.mp3,47,31,H1,D1,Y,109
I1,parent,2,11_36.mp3,11,36,I1,C1,Y,109
A1,child,2,60_37.mp3,60,37,H1,A1,Y,110
A1,parent,1,31_03.mp3,31,3,I1,A1,Y,110
B1,parent,1,40_05.mp3,40,5,B1,I1,Y,110
B1,parent,2,18_40.mp3,18,40,K1,B1,Y,110
C1,parent,2,51_32.mp3,51,32,E1,C1,Y,110
G1,parent,1,32_05.mp3,32,5,G1,D1,Y,110
G1,parent,2,26_32.mp3,26,32,G1,D1,Y,110
H1,child,1,71_02.mp3,71,2,H1,E1,Y,110
H1,parent,1,42_03.mp3,42,3,H1,A1,Y,110
K1,parent,2,65_36.mp3,65,36,K1,D1,Y,110
A1,child,1,53_10.mp3,53,10,A1,I1,Y,111
A1,parent,2,58_40.mp3,58,40,I1,A1,Y,111
C1,child,2,49_35.mp3,49,35,C1,A1,Y,111
E1,child,2,58_33.mp3,58,33,E1,A1,Y,111
F1,child,2,46_39.mp3,46,39,B1,F1,Y,111
G1,child,2,67_37.mp3,67,37,G1,D1,Y,111
H1,child,1,73_10.mp3,73,10,A1,H1,Y,111
I1,child,1,51_08.mp3,51,8,A1,I1,Y,111
I1,parent,1,46_05.mp3,46,5,A1,I1,Y,111
K1,child,1,15_04.mp3,15,4,B1,K1,N,111
B1,parent,2,47_38.mp3,47,38,C1,B1,Y,112
C1,parent,1,14_03.mp3,14,3,C1,H1,Y,112
D1,child,2,26_39.mp3,26,39,F1,D1,Y,112
D1,parent,1,53_03.mp3,53,3,H1,D1,Y,112
E1,child,1,45_06.mp3,45,6,I1,E1,Y,112
F1,parent,1,28_03.mp3,28,3,F1,G1,Y,112
F1,parent,2,59_34.mp3,59,34,F1,G1,Y,112
I1,parent,2,49_32.mp3,49,32,A1,I1,Y,112
K1,child,1,58_06.mp3,58,6,K1,A1,N,112
K1,parent,2,75_38.mp3,75,38,K1,B1,Y,112
C1,parent,2,72_40.mp3,72,40,C1,I1,Y,113
E1,child,1,65_04.mp3,65,4,I1,E1,Y,113
E1,child,2,35_39.mp3,35,39,E1,H1,Y,113
F1,child,1,67_08.mp3,67,8,F1,B1,Y,113
F1,child,2,75_31.mp3,75,31,F1,G1,Y,113
G1,child,1,70_02.mp3,70,2,C1,G1,Y,113
H1,child,1,26_10.mp3,26,10,C1,H1,Y,113
I1,child,2,59_31.mp3,59,31,E1,I1,Y,113
I1,parent,1,70_01.mp3,70,1,A1,I1,Y,113
K1,child,2,56_35.mp3,56,35,K1,A1,Y,113
A1,child,1,49_02.mp3,49,2,I1,A1,Y,114
B1,parent,2,60_36.mp3,60,36,C1,B1,Y,114
C1,parent,2,55_40.mp3,55,40,C1,E1,Y,114
E1,child,2,68_37.mp3,68,37,A1,E1,N,114
F1,child,2,44_33.mp3,44,33,F1,G1,Y,114
G1,child,1,60_10.mp3,60,10,E1,G1,N,114
H1,child,1,16_08.mp3,16,8,H1,C1,Y,114
H1,parent,1,55_03.mp3,55,3,A1,H1,Y,114
I1,parent,2,64_32.mp3,64,32,C1,I1,Y,114
K1,child,1,42_02.mp3,42,2,K1,B1,Y,114
