subid,trial,target,leftpic,rightpic,chosenside,chosenpic,correct,date,time,rt
3,5,onion,artichoke,onion,R,onion,Y,11/12/2018,15:24:55,4708
3,0,F1,F1,G1,L,F1,Y,11/12/2018,15:25:08,7659
3,1,G1,K1,G1,R,G1,Y,11/12/2018,15:24:55,4126
3,2,A1,I1,A1,R,A1,Y,11/12/2018,15:25:08,4688
3,3,I1,B1,I1,R,I1,Y,11/12/2018,15:24:55,8314
3,4,D1,K1,D1,L,K1,N,11/12/2018,15:25:08,5472
3,5,E1,E1,A1,L,E1,Y,11/12/2018,15:24:55,16165
3,6,B1,D1,B1,R,B1,Y,11/12/2018,15:25:08,5723
3,7,C1,H1,C1,R,C1,Y,11/12/2018,15:24:55,8809
3,8,H1,C1,H1,R,H1,Y,11/12/2018,15:25:08,4568
3,9,K1,A1,K1,R,K1,Y,11/12/2018,15:24:55,9647
3,10,D1,D1,E1,L,D1,Y,11/12/2018,15:24:55,11409
3,11,I1,A1,I1,R,I1,Y,11/12/2018,15:25:08,4216
3,12,B1,K1,B1,R,B1,Y,11/12/2018,15:24:55,4020
3,13,G1,G1,D1,L,G1,Y,11/12/2018,15:25:08,4154
3,14,A1,K1,A1,R,A1,Y,11/12/2018,15:24:55,4246
3,15,E1,E1,B1,L,E1,Y,11/12/2018,15:25:08,4992
3,16,F1,K1,F1,R,F1,Y,11/12/2018,15:24:55,4245
3,17,K1,F1,K1,R,K1,Y,11/12/2018,15:25:08,2925
3,18,H1,H1,E1,L,H1,Y,11/12/2018,15:24:55,4267
3,19,C1,A1,C1,R,C1,Y,11/12/2018,15:25:08,6019
3,20,F1,C1,F1,R,F1,Y,11/12/2018,15:25:08,5090
3,21,G1,G1,E1,L,G1,Y,11/12/2018,15:24:55,9653
3,22,A1,A1,D1,L,A1,Y,11/12/2018,15:25:08,3850
3,23,I1,I1,C1,L,I1,Y,11/12/2018,15:24:55,9101
3,24,D1,H1,D1,R,D1,Y,11/12/2018,15:25:08,3746
3,25,E1,I1,E1,L,I1,N,11/12/2018,15:24:55,8319
3,26,B1,B1,I1,L,B1,Y,11/12/2018,15:25:08,3658
3,27,K1,K1,D1,L,K1,Y,11/12/2018,15:24:55,22773
3,28,H1,H1,D1,R,D1,N,11/12/2018,15:25:08,4619
3,29,C1,E1,C1,R,C1,Y,11/12/2018,15:24:55,8069
3,30,A1,H1,A1,R,A1,Y,11/12/2018,15:24:55,5373
3,31,K1,B1,K1,L,B1,N,11/12/2018,15:25:08,3440
3,32,H1,H1,A1,L,H1,Y,11/12/2018,15:24:55,4171
3,33,I1,I1,E1,L,I1,Y,11/12/2018,15:25:08,5405
3,34,B1,C1,B1,R,B1,Y,11/12/2018,15:24:55,25772
3,35,E1,E1,H1,L,E1,Y,11/12/2018,15:25:08,5189
3,36,D1,F1,D1,R,D1,Y,11/12/2018,15:24:55,8451
3,37,G1,C1,G1,R,G1,Y,11/12/2018,15:25:08,4887
3,38,F1,F1,B1,L,F1,Y,11/12/2018,15:24:55,5137
3,39,C1,C1,I1,R,I1,N,11/12/2018,15:25:08,8798
4,0,apple,banana,apple,R,apple,Y,11/14/2018,11:05:05,10951
4,1,artichoke,onion,artichoke,R,artichoke,Y,11/14/2018,11:05:04,16629
4,2,onion,artichoke,onion,R,onion,Y,11/14/2018,11:05:05,15354
4,3,apple,apple,banana,L,apple,Y,11/14/2018,11:05:04,6246
4,4,artichoke,artichoke,onion,L,artichoke,Y,11/14/2018,11:05:05,8425
4,5,onion,onion,artichoke,L,onion,Y,11/14/2018,11:05:04,3377
4,0,K1,K1,F1,L,K1,Y,11/14/2018,11:05:05,12912
4,1,C1,C1,I1,L,C1,Y,11/14/2018,11:05:04,7297
4,2,I1,B1,I1,R,I1,Y,11/14/2018,11:05:05,4166
4,3,E1,E1,B1,L,E1,Y,11/14/2018,11:05:04,5437
4,4,H1,H1,E1,L,H1,Y,11/14/2018,11:05:05,5883
4,5,B1,C1,B1,R,B1,Y,11/14/2018,11:05:04,8969
4,6,G1,K1,G1,R,G1,Y,11/14/2018,11:05:05,7896
4,7,A1,A1,I1,L,A1,Y,11/14/2018,11:05:04,6134
4,8,D1,D1,E1,L,D1,Y,11/14/2018,11:05:05,3296
4,9,F1,F1,K1,L,F1,Y,11/14/2018,11:05:04,13031
